id,product_name,buy_date,buy_price,gender,expiration_date,bought_id,sell_date,sell_price
1,Beef - Salted,9/12/2021,$18.89,Female,8/1/2021,0.2481812452,2/22/2022,$64.93
2,"Lamb - Leg, Boneless",1/14/2022,$9.87,Genderfluid,1/15/2022,0.9304962605,4/5/2022,$43.72
3,Dooleys Toffee,7/23/2021,$29.63,Male,9/4/2021,2.7996834291,12/3/2021,$42.49
4,Chick Peas - Canned,1/27/2022,$37.65,Male,2/12/2022,0.2658997098,2/24/2022,$28.48
5,Beef - Ground Medium,9/17/2021,$12.65,Male,6/15/2022,1.7554636656,3/10/2022,$29.61
6,Caviar - Salmon,4/23/2022,$67.59,Genderfluid,4/1/2022,2.417355679,2/19/2022,$32.41
7,Sesame Seed,7/6/2022,$40.39,Male,6/24/2022,0.2887689618,7/18/2022,$80.26
8,Pork - Shoulder,2/28/2022,$91.69,Male,11/5/2021,2.0563786484,9/1/2021,$81.36
9,Mix - Cocktail Strawberry Daiquiri,3/21/2022,$60.75,Female,12/11/2021,0.5737169009,12/18/2021,$38.83
10,Hummus - Spread,7/11/2022,$33.41,Male,6/1/2022,0.1696601744,3/23/2022,$50.41
11,Cheese - Goat With Herbs,1/2/2022,$16.46,Male,11/5/2021,0.8132219751,9/15/2021,$35.48
12,Buffalo - Tenderloin,8/20/2021,$76.55,Male,9/7/2021,0.2432178266,8/9/2021,$80.49
13,Macaroons - Homestyle Two Bit,8/11/2021,$74.16,Male,5/7/2022,0.0040123536,10/21/2021,$80.88
14,Wine - Delicato Merlot,10/10/2021,$5.01,Female,12/30/2021,1.3522926508,7/5/2022,$26.13
15,"Mop Head - Cotton, 24 Oz",10/24/2021,$91.74,Female,5/27/2022,0.3494042758,3/3/2022,$90.19
16,Beef - Striploin,5/16/2022,$31.89,Female,4/9/2022,0.0276617534,3/7/2022,$32.57
17,Pie Filling - Pumpkin,10/23/2021,$78.16,Male,2/4/2022,0.7645741896,9/16/2021,$58.41
18,Samosa - Veg,7/8/2022,$33.31,Polygender,11/17/2021,1.2991428606,1/16/2022,$73.04
19,Muffin Hinge - 211n,2/18/2022,$47.54,Genderfluid,7/10/2022,0.5347717999,1/17/2022,$60.78
20,Cake - Mini Cheesecake,9/8/2021,$43.05,Male,1/4/2022,1.3378667462,8/20/2021,$27.37
21,Wine - Rhine Riesling Wolf Blass,9/9/2021,$26.94,Male,4/26/2022,0.6248945502,6/29/2022,$31.75
22,Wine - White Cab Sauv.on,6/4/2022,$78.62,Male,12/7/2021,1.1713503506,6/21/2022,$91.95
23,Wine - Chablis J Moreau Et Fils,3/19/2022,$81.71,Male,6/29/2022,1.139150888,9/8/2021,$95.25
24,Hagen Daza - Dk Choocolate,6/25/2022,$56.54,Male,6/26/2022,0.0449326217,6/25/2022,$12.89
25,Creme De Menthe Green,9/25/2021,$98.61,Male,11/20/2021,0.2210591612,7/3/2022,$2.60
26,"Zucchini - Mini, Green",1/29/2022,$10.88,Polygender,11/6/2021,0.6601020176,2/1/2022,$51.15
27,Salad Dressing,2/22/2022,$91.57,Female,9/7/2021,0.4856248249,10/24/2021,$45.48
28,Dehydrated Kelp Kombo,10/20/2021,$68.65,Female,6/4/2022,0.0121283548,5/6/2022,$86.81
29,Soap - Hand Soap,5/7/2022,$11.20,Female,3/7/2022,0.0408148021,5/2/2022,$25.75
30,Syrup - Monin - Blue Curacao,10/29/2021,$86.54,Female,8/1/2021,2.2499029604,7/29/2021,$77.97
31,Chef Hat 20cm,3/30/2022,$50.31,Male,2/18/2022,2.1722575614,4/14/2022,$67.89
32,Pepper - Red Bell,7/16/2022,$17.10,Agender,2/5/2022,0.1636325226,9/13/2021,$13.61
33,Parsley Italian - Fresh,1/21/2022,$61.99,Male,5/27/2022,0.4275201493,12/23/2021,$37.24
34,Onion Powder,3/5/2022,$49.01,Male,11/7/2021,1.6706782456,12/17/2021,$5.23
35,Pasta - Orecchiette,12/17/2021,$17.49,Female,5/3/2022,3.3698367159,6/7/2022,$11.95
36,Wine - Placido Pinot Grigo,12/30/2021,$24.02,Male,7/11/2022,0.1178377463,3/13/2022,$1.92
37,"Pork - Loin, Center Cut",9/28/2021,$19.60,Male,5/1/2022,0.4882833856,5/15/2022,$16.17
38,Bread - Raisin,7/23/2021,$96.74,Bigender,6/21/2022,0.8341322026,3/19/2022,$63.66
39,Toamtoes 6x7 Select,5/27/2022,$22.24,Male,3/27/2022,0.6312876769,7/12/2022,$48.05
40,Lettuce - Belgian Endive,1/4/2022,$11.81,Male,10/26/2021,0.5937788684,8/23/2021,$27.79
41,Plastic Wrap,4/7/2022,$59.32,Male,7/16/2022,0.021457595,4/21/2022,$23.14
42,Meldea Green Tea Liquor,7/20/2022,$80.17,Male,6/4/2022,3.1697435346,9/6/2021,$60.60
43,Cinnamon - Ground,2/17/2022,$40.43,Female,1/4/2022,2.8843013786,1/10/2022,$62.38
